no,stage,x,y,z,tbxta,sox2,sp5l,cdh6
1,18ss,108.972,170.488,48.2459,5.0517,109,7.20288,7.56655
1,18ss,114.763,173.774,48.1846,5.24829,63,6.87511,11.7505
1,18ss,127.824,167.065,40.6102,5.78273,75,7.8765,12.2037
1,18ss,130.272,173.876,45.6057,9.19646,93,7.00654,15.1553
1,18ss,121.952,173.826,47.0751,5.20893,105,6.10911,14.7214
1,18ss,121.163,170.581,50.2524,5.0141,110,7.9956,11.37
1,18ss,125.748,175.156,52.3486,6.15713,129,5.98187,15.1403
1,18ss,132.205,179.877,50.8373,2.35115,31,1.6373,2.16834
1,18ss,145.664,168.368,36.6684,5.95655,106,4.33273,6.93563
1,18ss,142.956,166.895,41.7729,12.2335,107,6.64753,15.2412
1,18ss,141.712,175.012,44.1616,3.09597,49,1.83573,3.00191
1,18ss,137.976,170.466,43.4164,8.94907,103,5.289,17.5953
1,18ss,149.868,171.617,43.0545,2.66033,42,1.58633,2.55473
1,18ss,155.53,176.081,45.8079,2.26808,34,1.29186,1.77886
1,18ss,154.796,170.066,50.6541,1.80314,32,1.06744,1.3309
1,18ss,146.456,167.049,50.2691,9.76414,74,3.9778,12.0841
1,18ss,159.401,170.937,41.987,2.36196,37,1.31077,1.72921
1,18ss,161.423,181.892,45.5636,2.78739,38,1.53317,1.73739
1,18ss,144.791,62.8408,52.4621,8.10433,24,2.7743,2.12201
1,18ss,151.896,67.0208,55.1017,4.86487,22,2.81966,1.46517
1,18ss,151.728,61.0439,59.2055,4.57531,21,2.33577,1.55962
1,18ss,182.006,59.8421,54.5386,1.99014,20,0.712661,1.0235
1,18ss,155.184,79.4802,58.1184,8.91145,38,2.00459,1.9358
1,18ss,150.681,75.3719,54.0555,12.3185,26,3.61019,2.63594
1,18ss,157.035,71.4516,55.2317,8.35209,20,4.04615,2.06418
1,18ss,165.335,74.081,51.889,7.47855,24,2.33835,1.96956
1,18ss,166.923,67.6235,55.4604,5.35432,27,1.79311,1.69551
1,18ss,170.766,80.3096,60.6093,4.9122,24,1.45351,1.56861
