no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,147.518,116.046,4.33051,2.53827,13.1903,4.79691,2.38213
1,18ss,177.26,103.175,-2.59276,1.97803,7.88464,2.84595,1.49416
1,18ss,173.041,99.0947,2.85439,2.25481,9.67958,3.21258,1.86764
1,18ss,104.921,135.089,-3.23356,2.07288,18.8567,4.09213,1.78285
1,18ss,101.166,122.649,-1.30475,2.04823,17.1792,3.66156,1.44998
1,18ss,112.785,143.997,-1.87327,3.04755,24.8461,4.06219,1.41442
1,18ss,95.7779,125.789,0.447372,2.09599,17.2785,4.13244,1.97286
1,18ss,99.5682,135.581,-0.770485,1.8782,18.718,4.35982,1.20121
1,18ss,116.758,143.017,0.167264,2.03735,16.0869,4.83475,1.28041
1,18ss,102.099,128.963,0.249309,2.36274,19.0295,4.21134,1.52195
1,18ss,96.2479,141.02,0.482243,2.44645,21.6054,4.40935,1.76959
1,18ss,106.708,141.362,-0.346143,2.33343,20.0846,4.24468,1.40672
1,18ss,110.91,138.829,0.0968693,2.80082,20.7223,4.02595,2.09772
1,18ss,112.885,126.712,-0.818265,1.92755,15.5301,3.97994,1.38832
1,18ss,116.671,137.97,0.311308,2.1991,17.4915,4.34609,1.6857
1,18ss,108.638,125.105,1.78773,2.19125,13.1081,3.84038,1.84792
1,18ss,109.771,131.704,1.50363,2.25062,21.1328,4.00969,1.92488
1,18ss,120.251,128.689,2.02223,1.89982,19.455,5.04285,1.98263
1,18ss,114.312,133.677,1.99529,2.7682,17.7794,4.21271,1.97471
1,18ss,136.205,125.955,-1.53154,5.01619,19.0088,4.35893,4.00893
1,18ss,137.613,136.372,-1.62723,2.16679,12.6596,4.46509,1.39627
1,18ss,120.169,136.367,-1.73786,2.46836,19.1808,4.34801,1.68627
1,18ss,142.188,136.585,-0.166792,1.64844,11.0396,3.74927,1.0838
1,18ss,138.492,129.216,1.12453,2.28233,12.7903,6.25382,2.97266
1,18ss,140.031,139.842,0.0227985,1.54214,10.555,3.58371,1.01671
1,18ss,125.272,131.831,1.11392,2.39648,17.8347,4.67975,1.66113
1,18ss,124.906,123.837,2.65362,1.6973,11.95,3.77277,1.41458
1,18ss,135.129,124.082,4.40162,2.1397,13.7356,4.10699,2.17463
1,18ss,132.476,133.88,4.67594,1.74358,10.9867,3.95511,1.15351
