no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,123.987,93.2223,242.287,25.429,4.19113,10.3753
1,18ss,143.069,76.4237,243.519,24.2235,3.77537,9.81114
1,18ss,162.922,88.9864,234.303,21.3971,7.62649,11.6581
1,18ss,148.313,77.0318,236.804,24.2972,4.55331,11.9727
1,18ss,151.783,79.4429,235.132,24.0206,5.49415,13.2963
1,18ss,152.052,93.1584,235.044,20.1822,12.1384,13.6376
1,18ss,147.017,86.8987,235.989,32.3124,5.35671,11.2461
1,18ss,160.881,74.6113,237.184,16.7893,4.37796,10.01
1,18ss,154.632,83.0603,240.459,22.4675,4.40564,10.2499
1,18ss,161.212,79.0112,239.171,16.5193,4.18482,7.38808
1,18ss,147.581,76.3724,241.399,15.8624,3.35484,10.5591
1,18ss,157.605,91.0739,241.224,18.1196,4.61042,6.46407
1,18ss,161.741,76.5589,240.702,12.7448,3.97916,6.93594
1,18ss,163.086,82.589,241.261,16.1441,3.83371,6.25
1,18ss,151.787,72.1807,242.938,15.0392,2.92737,5.79867
1,18ss,150.418,90.7016,240.896,23.4887,5.41768,8.82899
1,18ss,167.066,74.2959,243.939,11.6522,5,8.04348
1,18ss,172.147,76.5547,234.476,13.4964,7.84458,13.6527
1,18ss,100.835,98.8706,222.985,17.408,5.84024,23.026
1,18ss,107.495,114.402,225.092,24.8271,18.0474,4.98384
1,18ss,114.218,119.524,225.699,28.8692,10.9668,4.56466
1,18ss,110.51,97.7669,224.351,18.4478,7.40979,38.5443
1,18ss,119.056,106.857,225.796,38.1004,13.6829,6.73606
1,18ss,99.9834,108.342,223.859,18.427,17.058,5.64531
1,18ss,117.66,97.4879,225.784,20.0868,6.54119,26.574
1,18ss,117.507,102.92,225.169,20.6239,21.6248,10.9813
1,18ss,107.556,108.949,225.044,27.4087,20.8081,7.08419
1,18ss,116.422,108.993,227.033,29.1911,10.3953,5.1495
1,18ss,98.7475,119.914,228.686,18.874,8.36709,4.05964
1,18ss,97.3439,105.121,229.047,21.2838,6.55631,7.04413
1,18ss,113.172,106.881,226.509,27.759,14.9765,5.6519
1,18ss,110.594,116.229,227.767,32.7601,15.4332,4.61249
1,18ss,102.845,116.481,230.764,17.1149,11.7829,4.41421
1,18ss,118.043,109.608,231.246,30.0494,7.05385,4.70705
1,18ss,115.056,115.171,229.73,25.282,10.4615,4.78387
1,18ss,99.5202,97.4512,232.957,29.6798,4.60262,11.9671
1,18ss,102.042,105.386,233.002,22.8013,7.43059,5.90912
1,18ss,111.454,111.101,232.243,39.2441,8.72026,5.3138
1,18ss,108.947,101.756,234.442,23.7562,5.91508,10.0724
1,18ss,118.651,116.423,231.018,30.8577,8.8391,4.31157
1,18ss,106.38,116.733,231.84,17.2985,11.3038,3.99442
1,18ss,142.662,99.4776,223.505,38.2006,10.6991,10.7805
1,18ss,126.575,105.792,221.964,29.7386,11.2779,8.37269
1,18ss,130.257,110.856,222.09,21.7368,15.5593,5.01295
1,18ss,127.063,112.213,223.235,28.5275,9.97434,4.88851
1,18ss,129.03,116.372,221.857,22.7861,12.7086,5.11586
1,18ss,144.82,101.522,225.064,24.7556,13.5767,7.09856
1,18ss,135.015,110.162,223.105,37.1127,8.53581,5.20108
1,18ss,141.26,104.358,224.348,20.3995,11.2125,7.67341
1,18ss,139.534,111.39,224.351,22.8354,13.2541,6.80475
1,18ss,120.654,111.168,225.89,33.6197,12.0923,5.31579
1,18ss,132.269,118.906,227.929,15.1196,11.0874,4.18225
1,18ss,134.732,99.9635,226.133,34.2055,12.9333,8.08651
1,18ss,129.578,114.642,225.983,20.7928,13.3765,4.97106
1,18ss,143.934,110.273,227.938,19.7855,12.1083,6.04926
1,18ss,122.585,114.704,228.322,27.6076,12.229,4.76139
1,18ss,136.91,118.143,229.275,9.29412,15.2941,3.47059
1,18ss,141.468,116.683,229.532,10.8938,16.8048,10.7778
1,18ss,129.611,101.05,230.165,27.1563,8.84967,7.24062
1,18ss,143.788,104.705,230.448,18.0419,12.3875,8.54127
1,18ss,122.397,112.448,231.516,24.8962,8.89896,4.74877
1,18ss,137.401,116.106,228.627,16.875,15.5839,6.87255
1,18ss,126.336,115.702,230.614,21.2256,9.54719,4.83462
1,18ss,134.185,104.52,232.861,30.9431,6.25255,4.49151
1,18ss,125.912,105.077,232.138,34.8935,7.11198,6.80509
1,18ss,132.822,113.348,230.148,22.4446,6.88514,4.70566
1,18ss,122.909,107.441,231.929,37.5618,10.3057,5.52869
1,18ss,138.145,107.352,232.777,20.4984,7.28647,4.66789
1,18ss,160.084,99.1727,223.523,15.9045,19.7875,22.1405
1,18ss,152.223,102.63,223.691,17.6768,16.0312,11.0095
1,18ss,153.314,96.5577,225.934,17.0004,22.0747,23.0214
1,18ss,148.13,106.778,225.33,13.9729,13.8987,6.61836
1,18ss,167.381,117.702,227.63,20.1106,3.01201,2.77273
1,18ss,169.418,100.653,229.163,5.91667,4.56944,4.54167
1,18ss,147.119,98.6333,228.563,26.7071,12.4749,8.90033
1,18ss,153.137,100.098,228.49,18.982,22.4694,11.2178
1,18ss,162.576,114.972,230.802,14.4282,3.375,3.37644
1,18ss,151.961,117.551,231.596,4.64474,6.38158,1.56579
1,18ss,167.342,97.7746,233.251,9.02273,1.88636,4.63636
1,18ss,160.598,103.98,232.917,5.82946,5.42636,3.55039
1,18ss,187.438,99.0674,222.848,9.44363,3.75858,2.76103
1,18ss,177.475,108.047,225.307,10.9483,2.833,2.85487
1,18ss,171.508,113.006,227.202,17.6322,3.3046,3.2069
1,18ss,171.56,104.257,230.536,9.95492,3.65574,3.39344
1,18ss,97.9822,140.389,224.747,11.1296,14.3002,4.07759
1,18ss,103.618,142.928,224.599,9.7775,12.6102,4.26936
1,18ss,117.031,136.024,227.279,9.61683,9.3962,3.85775
1,18ss,118.134,139.987,226.301,10.2733,20.7339,4.20726
1,18ss,108.169,122.677,225.284,34.9494,11.8873,4.22559
1,18ss,110.476,137.397,226.465,8.65458,13.181,4.03129
1,18ss,111.954,141.117,226.554,8.04552,12.2447,4.50207
1,18ss,119.326,121.953,227.035,19.9333,12.9869,4.16313
1,18ss,115.958,122.444,230.322,22.726,12.1553,3.85422
1,18ss,101.072,133.041,226.522,6.92637,14.0316,3.75316
1,18ss,115.891,127.79,230.544,20.9548,9.65447,3.91205
1,18ss,107.37,129.321,226.895,13.5119,10.4493,3.59783
1,18ss,114.821,133.111,228.126,9.65821,7.68812,3.37704
1,18ss,120.555,128.197,226.971,23.0564,9.56304,4.78036
1,18ss,103.732,131.702,232.174,6.36135,8.3603,3.50109
1,18ss,109.827,133.156,231.033,7.85835,10.8602,3.48948
1,18ss,98.2458,135.027,233.24,7.08471,11.1212,3.46115
