,X,Y,Z
28743,49.422,-22.9391,28.8269
28747,75.7715,-13.6973,24.5078
28795,67.8148,-22.1257,25.2375
28854,44.0751,-35.2769,28.8452
28909,61.7122,-34.5987,25.8762
28969,81.1695,-26.0707,23.4284
29028,56.096,-52.0667,25.8479
29089,71.6706,-44.6495,25.2064
29150,65.3016,-48.0962,26.1808
29211,58.0991,1.34499,30.3989
29271,37.5894,-17.9173,32.2112
29331,68.9118,-12.956,27.014
29337,70.1603,-28.2735,26.6198
29382,76.0222,-26.5484,26.0174
29439,76.0177,-35.3444,25.9554
29499,82.8433,-35.9436,25.1978
29555,80.6501,-43.4542,25.4215
29616,47.1164,-8.97609,33.0785
29676,57.4004,-6.06567,32.5048
29737,61.8512,-5.52494,30.3406
29797,36.9987,-24.2595,33.529
29817,77.8597,-15.1572,27.6989
29874,61.5405,-26.1329,30.6764
29933,53.006,-41.8727,30.3918
29944,86.2878,-29.3541,25.9746
30003,72.6285,-37.4598,28.8499
30064,65.2513,-43.0895,29.122
30125,34.3946,-8.28082,35.8245
30185,74.0157,-5.56571,31.7264
30245,61.1698,-16.0253,32.4829
30292,47.4277,-29.1897,35.1768
30350,38.8552,-35.3647,34.9226
30411,59.7988,-38.0396,32.2822
30469,90.3482,-37.7827,27.3386
30527,96.1312,-50.0901,26.8635
30539,59.5008,5.78736,34.7648
30594,41.1605,-6.91478,37.6517
30650,38.2417,-14.1113,37.7779
30656,54.6656,-15.6708,35.1499
30716,56.3778,-28.4985,35.9721
30735,47.7414,-39.8437,36.1543
30779,87.7381,-41.2134,30.5728
30838,32.6709,-10.274,40.9063
30850,51.8833,-3.37965,38.4724
30869,67.0069,2.45645,36.735
30928,32.5569,-23.1272,40.9662
30939,65.6893,-9.90628,37.1383
30997,42.7598,-23.6849,38.356
31057,70.6646,-16.1274,34.4535
31066,68.3888,-26.3684,35.7881
31127,54.603,-33.9846,37.9166
31144,63.2428,-32.6259,36.958
31200,77.5562,-26.7573,34.4415
31257,83.8473,-28.6978,33.856
31318,60.0572,-45.4954,36.2894
31379,68.7302,-52.4802,34.717
31433,80.562,-48.7929,32.3192
31438,48.2929,-1.32612,41.8239
31469,50.8649,-12.8204,39.9411
31478,48.4265,-22.8791,39.9116
31535,42.0991,-28.3156,41.4989
31596,54.576,-22.5239,39.4243
31654,62.7284,-20.043,38.1297
31693,86.1141,-22.555,34.9367
31752,72.2267,-33.5462,37.1868
31812,92.5796,-37.1783,34.1052
31871,52.228,-5.41464,42.3516
31922,71.9656,-1.88192,39.2228
31978,76.7194,-10.0677,38.1084
32034,57.1653,-27.2022,41.9239
32092,42.7612,-35.754,42.3131
32151,73.8777,-20.3966,39.6703
32180,75.3807,-28.4393,38.5356
