gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
442,30,0.014,0.148,8666.994,2.229,8668.617,10.498
443,30,0.014,0.148,8666.994,2.229,8668.617,10.498
444,30,0.014,0.148,8666.994,2.229,8668.617,10.498
445,30,0.014,0.148,8666.994,2.229,8668.617,10.498
446,30,0.014,0.148,8666.994,2.229,8668.617,10.498
447,30,0.014,0.148,8666.994,2.229,8668.617,10.498
448,30,0.014,0.148,8666.994,2.229,8668.617,10.498
449,30,0.014,0.148,8666.994,2.229,8668.617,10.498
450,30,0.014,0.148,8666.994,2.229,8668.617,10.498
451,30,0.014,0.148,8666.994,2.229,8668.617,10.498
452,30,0.014,0.148,8666.994,2.229,8668.617,10.498
